epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9517.83,0.13552,0.22736,0.77324,0.99367,0.99758,0.99381,0.98981,0.1121,0.0912,0.76439,7.12282e-05,7.12282e-05,7.12282e-05
86,10197,0.13482,0.22741,0.77287,0.99367,0.99759,0.99382,0.98984,0.11258,0.0916,0.76444,6.39518e-05,6.39518e-05,6.39518e-05
87,10875.5,0.13476,0.22544,0.77322,0.99372,0.99756,0.99382,0.98989,0.11192,0.09122,0.76442,5.71106e-05,5.71106e-05,5.71106e-05
88,11555.5,0.13459,0.22547,0.77296,0.99371,0.99756,0.99382,0.98998,0.11105,0.09085,0.76438,5.07115e-05,5.07115e-05,5.07115e-05
89,12235.8,0.13451,0.22466,0.77309,0.99357,0.99765,0.99381,0.98978,0.11431,0.09256,0.76459,4.47606e-05,4.47606e-05,4.47606e-05
90,12914.9,0.13442,0.22594,0.77291,0.99359,0.99761,0.99381,0.98967,0.11546,0.09318,0.76466,3.9264e-05,3.9264e-05,3.9264e-05
91,13586.9,0.11439,0.11903,0.76043,0.99359,0.99753,0.9938,0.98946,0.11703,0.094,0.76476,3.4227e-05,3.4227e-05,3.4227e-05
92,14257.5,0.11051,0.11286,0.76038,0.99344,0.99746,0.99379,0.98913,0.12143,0.09636,0.76508,2.96546e-05,2.96546e-05,2.96546e-05
93,14927.4,0.10952,0.11105,0.76017,0.99361,0.99752,0.99381,0.9896,0.11621,0.09344,0.76469,2.55513e-05,2.55513e-05,2.55513e-05
94,15597.8,0.1088,0.10978,0.76035,0.99359,0.99757,0.99381,0.98951,0.11697,0.09375,0.76479,2.19212e-05,2.19212e-05,2.19212e-05
95,16267.3,0.10841,0.10896,0.76011,0.99366,0.99758,0.99381,0.99,0.11234,0.09145,0.76447,1.87678e-05,1.87678e-05,1.87678e-05
96,16937.4,0.10792,0.10875,0.76002,0.99372,0.99755,0.99381,0.98993,0.11346,0.09213,0.76459,1.60943e-05,1.60943e-05,1.60943e-05
97,17607.7,0.10781,0.10831,0.75996,0.99374,0.99762,0.99382,0.98997,0.11302,0.09182,0.76457,1.39032e-05,1.39032e-05,1.39032e-05
98,18277.6,0.10743,0.10745,0.76007,0.99366,0.99767,0.9938,0.99011,0.11176,0.09103,0.76446,1.21968e-05,1.21968e-05,1.21968e-05
99,18947.8,0.10736,0.10746,0.76013,0.99359,0.99776,0.99381,0.99014,0.1115,0.09081,0.76442,1.09768e-05,1.09768e-05,1.09768e-05
100,19617.3,0.10727,0.10706,0.75988,0.99364,0.99777,0.99381,0.99015,0.11121,0.09044,0.76438,1.02443e-05,1.02443e-05,1.02443e-05
